apertura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.129	7.25098	-6.04248	-3.92761	4.22974	-1.61133
0.1295	1.3092	4.63257	-1.91345	5.74036	-5.13611
0.13	0.10071	1.00708	-2.5177	-4.02832	-0.20142
0.1305	-0.10071	2.11487	-5.53894	0.10071	-7.15027
0.131	0.70496	-3.52478	-3.12195	-5.13611	-5.43823
0.1315	3.22266	4.73328	-1.91345	-1.71204	-5.84106
0.132	4.33044	3.92761	-2.01416	-8.05664	-9.36584
0.1325	-1.91345	6.64673	-0.50354	-9.26514	-0.90637
0.133	3.92761	0.30212	-1.51062	-7.5531	-11.58142
0.1335	9.36584	-0.90637	-1.81274	-1.61133	-21.85364
0.134	3.52478	-0.40283	-3.22266	-2.92053	-11.78284
0.1345	-6.44531	3.92761	-2.81982	-6.64673	-7.25098
0.135	-0.60425	8.25806	1.71204	-2.41699	-4.02832
0.1355	-5.13611	-0.20142	-0.20142	-3.12195	-3.7262
0.136	-2.01416	-3.32336	2.21558	-2.21558	-3.12195
0.1365	-1.91345	-5.74036	-0.10071	-3.8269	5.53894
0.137	-5.74036	-0.50354	-3.52478	1.51062	-2.92053
0.1375	-3.8269	-3.02124	0.70496	1.2085	-2.11487
0.138	-5.43823	-4.43115	-5.63965	2.21558	-2.11487
0.1385	-0.10071	-2.31628	-6.74744	-7.75452	-1.51062
0.139	0.30212	0.20142	-9.36584	-2.01416	1.00708
0.1395	-2.71912	-3.8269	-10.57434	-3.7262	1.61133
0.14	-4.02832	-2.31628	-4.22974	-4.33044	-5.33752
0.1405	-1.2085	-3.02124	-1.2085	-8.25806	-5.84106
0.141	10.37292	-1.3092	2.92053	-6.54602	-6.14319
0.1415	6.04248	-6.64673	0.40283	-10.67505	-7.35168
0.142	5.13611	-1.10779	2.41699	-2.71912	-0.30212
0.1425	4.63257	-1.3092	-3.92761	-3.12195	-9.06372
0.143	0.90637	5.74036	-3.92761	-3.92761	-9.36584
0.1435	-5.23682	-2.61841	-0.30212	-1.91345	-3.92761
0.144	-2.41699	-3.42407	1.61133	-6.94885	-7.25098
0.1445	-7.85522	-3.62549	-0.20142	-6.14319	5.0354
0.145	-5.53894	-5.13611	-2.92053	-4.12903	0.70496
0.1455	-6.54602	-2.92053	-4.63257	-3.92761	-3.02124
0.146	-13.19275	-6.74744	-1.91345	-1.71204	-1.91345
0.1465	-7.95593	-4.63257	3.92761	1.40991	3.92761
0.147	-0.90637	-5.74036	0.50354	-2.01416	5.74036
0.1475	-8.7616	-2.71912	-0.70496	-3.62549	10.17151
0.148	-11.07788	-8.35876	-3.32336	-4.93469	3.52478
0.1485	-15.40833	-3.42407	-5.63965	1.81274	0.30212
0.149	-12.08496	-0.80566	-0.90637	1.10779	2.71912
0.1495	-6.94885	-4.12903	-0.80566	-2.31628	0.90637
0.15	-8.8623	-8.7616	-5.63965	-0.20142	8.66089
0.1505	-10.57434	-11.07788	-3.92761	-0.30212	11.38
0.151	-5.74036	-6.74744	2.61841	0.70496	4.83398
0.1515	-5.23682	-8.56018	-3.22266	-0.90637	10.17151
0.152	-4.12903	-3.52478	-2.71912	-7.5531	6.44531
0.1525	-2.21558	-5.94177	0.20142	-2.92053	4.53186
0.153	-4.43115	-10.77576	-1.10779	-1.81274	3.92761
0.1535	2.5177	-14.40125	-3.8269	0.60425	3.7262
0.154	-7.04956	-3.52478	-2.61841	2.31628	-0.10071
0.1545	-8.8623	-7.95593	-2.5177	-0.70496	-1.10779
0.155	-7.75452	-4.12903	0.30212	-1.91345	-6.3446
0.1555	-7.15027	-4.33044	-1.10779	-2.21558	1.2085
0.156	-9.97009	-5.53894	5.53894	5.0354	2.31628
0.1565	-5.74036	1.3092	2.92053	-2.71912	-0.60425
0.157	3.62549	4.93469	-1.71204	-0.10071	-4.02832
0.1575	-3.12195	1.71204	-6.74744	-6.64673	-7.5531
0.158	0.20142	-2.71912	1.10779	-5.43823	-5.13611
0.1585	-0.70496	-0.60425	4.12903	-8.15735	1.10779
0.159	-4.83398	1.10779	-0.60425	-0.70496	-3.7262
0.1595	-12.28638	-0.30212	-0.10071	-1.40991	-0.30212
0.16	-0.60425	-0.90637	-3.42407	-7.35168	-3.7262
0.1605	-3.02124	3.62549	-0.50354	-0.70496	-7.5531
0.161	1.81274	0.90637	0.30212	-2.31628	-5.13611
0.1615	1.3092	4.93469	2.81982	-0.90637	-12.38708
0.162	-7.75452	4.12903	9.36584	-7.35168	-8.56018
0.1625	-0.70496	4.12903	4.63257	-1.71204	-4.53186
0.163	-0.70496	2.31628	6.3446	-5.13611	-6.3446
0.1635	-0.10071	0.60425	7.04956	-1.91345	-4.33044
0.164	3.52478	-2.61841	5.33752	-5.63965	-5.33752
0.1645	-0.10071	-2.11487	5.53894	-11.48071	-0.90637
0.165	-1.3092	3.42407	8.96301	-13.797	3.62549
0.1655	0.90637	2.01416	3.7262	-9.97009	-5.23682
0.166	-4.73328	0.50354	2.71912	-4.93469	-3.62549
0.1665	-1.71204	-0.90637	0.30212	-7.04956	-1.10779
0.167	-0.90637	-4.63257	-5.63965	-4.93469	2.41699
0.1675	-7.35168	-5.13611	-0.10071	0.20142	3.7262
0.168	-7.85522	-2.92053	-0.10071	1.2085	4.02832
0.1685	-4.33044	-1.2085	0.50354	4.43115	-0.70496
0.169	-10.57434	-3.92761	-3.7262	6.84814	7.25098
0.1695	-4.33044	-5.13611	-12.18567	4.22974	2.71912
0.17	-5.13611	-3.12195	-13.797	5.23682	-1.51062
0.1705	-2.92053	-3.12195	-8.7616	0.70496	-2.01416
0.171	-5.63965	-4.12903	-7.15027	-2.5177	-2.21558
0.1715	-4.53186	-2.61841	-1.51062	-4.93469	-0.10071
0.172	-9.86938	-0.10071	-0.10071	-2.61841	11.38
0.1725	-7.85522	-0.50354	8.25806	-3.8269	6.44531
0.173	-5.84106	-3.7262	6.2439	1.40991	-2.41699
0.1735	-6.2439	-10.17151	-10.77576	5.23682	0.30212
0.174	-5.33752	-12.38708	-7.25098	7.35168	1.40991
0.1745	-2.71912	-3.12195	-7.35168	9.56726	6.14319
0.175	-7.04956	-7.95593	-4.53186	4.22974	8.05664
0.1755	3.7262	-4.02832	-0.90637	0.50354	6.2439
0.176	-4.12903	0.70496	5.0354	-0.90637	3.52478
0.1765	2.31628	-4.33044	6.2439	1.00708	1.10779
0.177	-2.61841	-5.0354	-2.81982	3.7262	2.61841
0.1775	0.70496	-4.73328	0.30212	-4.73328	5.74036
0.178	-9.36584	-6.04248	-2.11487	1.81274	1.3092
0.1785	-8.15735	4.93469	-3.32336	-0.10071	5.74036
0.179	-11.98425	-4.63257	-4.02832	-0.80566	1.3092
0.1795	-14.90479	-5.94177	-3.8269	2.92053	-0.70496
0.18	-8.05664	-2.5177	-2.81982	1.10779	4.53186
0.1805	-5.53894	-2.21558	-7.15027	-4.83398	-0.10071
0.181	-2.11487	-0.50354	-0.50354	-1.2085	-2.21558
0.1815	-4.53186	-2.5177	0.80566	-0.90637	-2.21558
0.182	-4.53186	0.80566	2.21558	-0.70496	-6.74744
0.1825	-1.61133	-0.10071	-2.5177	-6.14319	-15.60974
0.183	-3.52478	-1.00708	-6.94885	0.50354	-7.35168
0.1835	-3.42407	-2.01416	-3.22266	-5.84106	2.81982
0.184	-5.13611	-0.10071	-6.2439	-7.95593	5.53894
0.1845	0.20142	-4.53186	-4.73328	-1.3092	0.10071
0.185	3.8269	4.83398	-0.70496	-4.53186	-7.45239
0.1855	0.90637	0.50354	-0.30212	-1.51062	-2.41699
0.186	-1.51062	2.21558	3.42407	-3.92761	-9.56726
0.1865	7.45239	2.21558	0.90637	-9.76868	-14.40125
0.187	6.04248	0.60425	4.53186	-6.54602	-5.53894
0.1875	1.61133	-6.74744	2.41699	-3.62549	-0.10071
0.188	1.81274	-10.0708	-0.30212	-2.71912	-8.35876
0.1885	7.75452	-1.00708	3.92761	-1.10779	-10.27222
0.189	0.90637	0.30212	0.70496	1.3092	-8.96301
0.1895	0.80566	-2.92053	-0.10071	-3.32336	-12.08496
0.19	2.11487	-2.71912	6.54602	0.10071	-10.47363
0.1905	2.41699	0.50354	0.50354	-4.33044	-5.84106
0.191	-1.2085	-5.63965	4.53186	-4.63257	-4.83398
0.1915	-2.01416	-5.43823	3.7262	-1.10779	1.3092
