chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1095	-1.91345	-5.0354	-1.71204	-2.31628	2.41699
0.11	-5.74036	-4.73328	1.81274	-1.3092	6.64673
0.1105	-4.12903	-3.22266	-2.92053	-11.58142	17.32178
0.111	-8.25806	-0.60425	0.80566	-10.47363	18.63098
0.1115	-6.64673	-5.13611	-2.11487	-10.77576	18.42957
0.112	-10.37292	0.50354	-1.71204	-10.87646	11.38
0.1125	-9.97009	-4.53186	-5.13611	-8.05664	1.51062
0.113	-3.92761	0	-2.5177	-4.22974	5.43823
0.1135	-6.74744	-3.52478	-3.8269	-3.92761	-0.10071
0.114	-1.91345	-4.12903	-2.5177	-0.50354	-2.31628
0.1145	-5.23682	3.62549	-4.93469	-9.97009	-2.5177
0.115	-2.71912	1.2085	-2.81982	0.60425	-6.54602
0.1155	-5.33752	4.83398	-4.63257	2.92053	-6.14319
0.116	-13.69629	-7.15027	0.10071	2.31628	-5.43823
0.1165	-8.35876	-3.92761	-0.30212	6.64673	-8.25806
0.117	-7.5531	-0.60425	-0.30212	4.53186	-9.97009
0.1175	-5.43823	-1.81274	-5.33752	2.71912	-2.81982
0.118	-6.84814	-6.2439	-3.52478	3.7262	-4.83398
0.1185	0.20142	-6.44531	4.73328	0.80566	-3.22266
0.119	-4.73328	-4.93469	2.11487	2.01416	0.40283
0.1195	2.61841	-12.28638	-0.80566	5.63965	4.93469
0.12	3.52478	-10.57434	-7.35168	0.20142	0.30212
0.1205	5.23682	-5.0354	-6.74744	2.01416	-4.12903
0.121	2.31628	-4.22974	-8.45947	-0.90637	-4.12903
0.1215	2.31628	0.10071	-2.71912	8.56018	-0.50354
0.122	5.43823	-5.43823	1.10779	4.63257	-5.74036
0.1225	-2.71912	-0.90637	3.8269	2.61841	-11.17859
0.123	2.61841	-5.63965	6.14319	8.8623	-17.52319
0.1235	3.7262	-1.51062	1.2085	1.51062	-21.24939
0.124	4.22974	2.21558	-5.63965	8.56018	-20.04089
0.1245	9.16443	2.5177	3.32336	11.07788	-25.27771
0.125	0.10071	-3.7262	3.02124	12.08496	-14.30054
0.1255	0	-0.60425	1.40991	9.16443	-21.85364
0.126	-5.74036	-5.63965	-0.20142	8.7616	-17.01965
0.1265	-11.17859	-3.8269	-0.30212	15.20691	-16.71753
